Component        , File Path                                            , Line Number, Severity, Issue Type                      , Issue Description                                                                                                                     , Code Snippet                                                                                                                                                                                                                                                     , Suggested Fix                                                                                       , Source
DisplayInfo      , DisplayInfo/DeviceSettings/PlatformImplementation.cpp, 450-460    , Medium  , API Misuse                      , getHDCPStatus returns dsHdcpStatus_t* but caller must manage memory - unclear ownership                                               , dsHdcpStatus_t* hdcpStatus = videoOutputPort.getHDCPStatus(); if (hdcpStatus) { ... }                                                                                                                                                                            , Document memory ownership or use RAII wrapper                                                       , Manual Analysis
DisplaySettings  , DisplaySettings/DisplaySettings.cpp                  , 180-185    , Medium  , Exception Safety                , Exception in callback handler not properly caught - may crash plugin                                                                  , void DisplaySettings::onVideoFormatChange(const int format) { ... }                                                                                                                                                                                              , Wrap callback body in try-catch to prevent exception propagation                                    , Manual Analysis
FrameRate        , FrameRate/FrameRate.cpp                              , 95         , Medium  , Null Pointer Check              , ASSERT(_frameRateImplementation == nullptr) but no runtime check - will fail silently in release                                      , "ASSERT(_frameRateImplementation == nullptr); _frameRateImplementation = service->Root<Exchange::IFrameRate>(_connectionId, 2000, _T(""FrameRateImplementation""));"                                                                                             , Add runtime null check before initialization                                                        , Manual Analysis
FrameRate        , FrameRate/FrameRateImplementation.cpp                , 145        , High    , Concurrency - Race Condition    , AutoFrameRateState accessed without mutex protection from multiple threads                                                            , bool FrameRateImplementation::GetAutoFrameRateState() { return m_autoFrameRateState; }                                                                                                                                                                           , Protect all access to m_autoFrameRateState with mutex                                               , Manual Analysis
helpers          , helpers/UtilsgetFileContent.h                        , 73         , Medium  , Buffer Overflow                 , readPropertyFromFile uses fixed buffer size MAX_BUF_SIZE without checking line length                                                 , "char line[MAX_BUF_SIZE]; while (fgets(line, sizeof(line), fp)) { ... }"                                                                                                                                                                                         , Use dynamic buffer or std::string with getline                                                      , Manual Analysis
helpers          , helpers/UtilsgetFileContent.h                        , 178-224    , High    , Resource Leak - Directory Handle, searchFilesRec uses opendir but may not closedir on all error paths                                                                   , DIR *d = opendir(dirPath.c_str()); if (!d) return; ... closedir(d);                                                                                                                                                                                              , Use RAII wrapper for DIR* or ensure closedir on all paths                                           , Manual Analysis
helpers          , helpers/cSettings.h                                  , 43         , Low     , Inefficient Copy                , cSettings constructor takes std::string by value instead of const reference                                                           , cSettings(std::string name)                                                                                                                                                                                                                                      , Change to cSettings(const std::string& name)                                                        , Manual Analysis
PowerManager     , PowerManager/PowerManager.cpp                        , 250        , High    , Null Pointer Dereference        , ASSERT checks but no runtime validation for power manager initialization                                                              , "ASSERT(_powerManager == nullptr); _powerManager = service->Root<Exchange::IPowerManager>(_connectionId, 2000, _T(""PowerManagerImplementation""));"                                                                                                             , Add runtime null checks and error handling                                                          , Manual Analysis
PowerManager     , PowerManager/PowerManagerImplementation.cpp          , 420        , Critical, Concurrency - Deadlock          , Lock held while calling external callback - can deadlock if callback tries to acquire same lock                                       , _adminLock.Lock(); for (auto& notification : _notificationList) { notification->OnPowerStateChange(...); } _adminLock.Unlock();                                                                                                                                  , Copy notification list and release lock before invoking callbacks                                   , Manual Analysis
SystemMode       , SystemMode/SystemMode.cpp                            , 180        , Medium  , Thread Safety                   , State change notifications sent without proper synchronization                                                                        , void SystemMode::NotifyStateChange(const Exchange::ISystemMode::modeType mode) { ... }                                                                                                                                                                           , Protect notification list access with mutex                                                         , Manual Analysis
SystemServices   , SystemServices/SystemServices.cpp                    , 761        , High    , Concurrency - Data Race         , onPowerModeChanged accesses shared state without synchronization                                                                      , "void SystemServices::onPowerModeChanged(PowerState newState, PowerState oldState) { ... }"                                                                                                                                                                      , Add mutex protection for shared state access                                                        , Manual Analysis
SystemServices   , SystemServices/SystemServices.cpp                    , 1273-1276  , Medium  , Error Handling                  , getDeviceInfo returns success even if device info retrieval fails                                                                     , "result[""deviceInfo""] = deviceInfoResult; return Core::ERROR_NONE;"                                                                                                                                                                                            , Check if deviceInfoResult is valid before returning success                                         , Manual Analysis
SystemServices   , SystemServices/SystemServices.cpp                    , 2074-2136  , Low     , Code Duplication                , firmwareUpdateInfoReceived has duplicated code blocks for event dispatch                                                              , Multiple similar blocks dispatching different events                                                                                                                                                                                                             , Extract common event dispatch logic into helper function                                            , Manual Analysis
SystemServices   , SystemServices/SystemServices.cpp                    , 3006       , Medium  , Logic Error                     , setTimeZoneDST has multiple nested conditions that are hard to follow and may have logic errors                                       , Complex nested if-else chains for timezone validation                                                                                                                                                                                                            , Refactor into separate validation functions with clear logic                                        , Manual Analysis
SystemServices   , SystemServices/SystemServices.cpp                    , 4268-4285  , High    , API Misuse                      , setDevicePowerState may not properly handle async power state changes                                                                 , Synchronous power state change without waiting for completion                                                                                                                                                                                                    , Implement proper async handling or callback mechanism                                               , Manual Analysis
SystemServices   , SystemServices/SystemServices.cpp                    , 4798       , Medium  , Thread Safety                   , _SysModeChange callback function accesses global state without protection                                                             , void* _SysModeChange(void* arg) { ... }                                                                                                                                                                                                                          , Add synchronization for shared state access                                                         , Manual Analysis
SystemServices   , SystemServices/SystemServicesHelper.cpp              , 197-206    , Low     , String Handling                 , getModel and convertCase perform string operations that could be optimized                                                            , Multiple string copy operations                                                                                                                                                                                                                                  , Use string references and in-place modifications where possible                                     , Manual Analysis
SystemServices   , SystemServices/SystemServicesHelper.cpp              , 539        , Medium  , Regex Performance               , findMacInString creates regex pattern on every call - inefficient                                                                     , Regex compiled repeatedly in loop or frequent calls                                                                                                                                                                                                              , Pre-compile and cache regex patterns as static const                                                , Manual Analysis
SystemServices   , SystemServices/thermonitor.cpp                       , 173        , Low     , Type Safety                     , emitTemperatureThresholdChange uses float for temperature - may lose precision                                                        , "void emitTemperatureThresholdChange(string threshold, bool exceed, float temperature)"                                                                                                                                                                          , Consider using double for better precision or fixed-point arithmetic                                , Manual Analysis
SystemServices   , SystemServices/uploadlogs.cpp                        , 70         , Medium  , Error Handling                  , getDCMconfigDetails may return partial data on failure without clear indication                                                       , Multiple out parameters set without atomic update                                                                                                                                                                                                                , Return struct or use all-or-nothing semantics                                                       , Manual Analysis
UserPreferences  , UserPreferences/UserPreferences.cpp                  , 342        , Low     , Event Notification              , OnPresentationLanguageChanged may be called frequently - consider throttling                                                          , void OnPresentationLanguageChanged(const string& language) { ... }                                                                                                                                                                                               , Add debouncing or throttling mechanism if language changes frequently                               , Manual Analysis
Warehouse        , Warehouse/WarehouseImplementation.cpp                , 384        , High    , Error Handling                  , InternalReset performs destructive operations without validating input thoroughly                                                     , "uint32_t InternalReset(const string& resetType, WarehouseSuccessErr& result)"                                                                                                                                                                                   , Add comprehensive input validation before performing reset operations                               , Manual Analysis
Warehouse        , Warehouse/WarehouseImplementation.cpp                , 493-499    , Medium  , Logic Error                     , IsClean has complex conditional logic that may not handle all edge cases                                                              , Multiple nested conditions checking clean state                                                                                                                                                                                                                  , Simplify logic and add comprehensive test cases                                                     , Manual Analysis
Warehouse        , Warehouse/WarehouseImplementation.cpp                , 666        , Critical, Security - Data Loss            , LightReset may delete user data without proper backup or confirmation                                                                 , uint32_t LightReset(WarehouseSuccessErr& result)                                                                                                                                                                                                                 , Implement proper backup mechanism and user confirmation before data deletion                        , Manual Analysis
                 ,                                                      ,            ,         ,                                 ,                                                                                                                                       ,                                                                                                                                                                                                                                                                  ,                                                                                                     , 
